rir,mean_score,record_count
mic0_src0,0.938,1
mic0_src1,0.959,1
mic0_src2,0.915,1
mic0_src3,0.889,1
mic0_src4,0.935,1
mic1_src0,0.963,1
mic1_src1,0.949,1
mic1_src2,0.986,1
mic1_src3,0.924,1
mic1_src4,0.919,1
mic2_src0,0.916,1
mic2_src1,0.955,1
mic2_src2,0.944,1
mic2_src3,0.957,1
mic2_src4,0.922,1
mic3_src0,0.937,1
mic3_src1,0.928,1
mic3_src2,0.92,1
mic3_src3,0.925,1
mic3_src4,0.945,1
mic4_src0,0.939,1
mic4_src1,0.924,1
mic4_src2,0.924,1
mic4_src3,0.979,1
mic4_src4,0.913,1
mic5_src0,0.933,1
mic5_src1,0.921,1
mic5_src2,0.936,1
mic5_src3,0.943,1
mic5_src4,0.963,1
mic6_src0,0.954,1
mic6_src1,0.92,1
mic6_src2,0.908,1
mic6_src3,0.902,1
mic6_src4,0.896,1
mic7_src0,0.911,1
mic7_src1,0.975,1
mic7_src2,0.929,1
mic7_src3,0.922,1
mic7_src4,0.93,1
